0.952205,Tax
0.0,Tax
0.789489,Tax
0.991869,Tax
-0.668365,Tax
0.941645,Tax
0.0,Tax
0.958942,Tax
0.0,Tax
0.888151,Tax
0.0,Tax
-0.781884,Tax
-0.728066,Tax
0.0,Tax
0.780166,Tax
0.0,Tax
0.0,Tax
0.0,Tax
-0.929058,Tax
-0.94941,Tax
-0.840602,Tax
-0.701758,Tax
0.0,Tax
-0.999957,Tax
0.0,Tax
0.816809,Tax
0.0,Tax
0.721235,Tax
0.0,Tax
0.0,Tax
-0.661798,Tax
0.0,Tax
-0.717047,Tax
0.991869,Tax
0.991869,Tax
-0.948606,Tax
0.67952,Tax
-0.831622,Tax
0.967535,Tax
-0.994042,Tax
-0.636019,Tax
-0.67629,Tax
0.0,Tax
0.643856,Tax
0.0,Tax
0.0,Tax
0.0,Tax
0.904445,Tax
0.695056,Tax
0.0,Tax
0.0,Tax
0.625373,Tax
0.0,Tax
0.0,Tax
-0.966352,Tax
-0.919974,Tax
0.778744,Tax
0.960012,Tax
0.0,Tax
0.64305,Tax
0.671955,Tax
0.748723,Tax
0.764771,Tax
0.991869,Tax
0.633074,Tax
0.960012,Tax
0.680321,Tax
0.0,Tax
0.0,Tax
-0.86965,Tax
0.0,Tax
0.0,Tax
0.0,Tax
0.0,Tax
0.0,Tax
0.0,Tax
0.675145,Tax
0.0,Tax
-0.717047,Tax
-0.704609,Tax
0.838778,Tax
0.904889,Tax
-0.713839,Tax
0.0,Tax
0.0,Tax
-0.802919,Tax
0.695056,Tax
0.8436,Tax
0.0,Tax
-0.775087,Tax
0.633074,Tax
0.0,Tax
0.751138,Tax
0.659649,Tax
0.659649,Tax
0.625342,Tax
0.79133,Tax
0.0,Tax
0.695056,Tax
-0.766286,Tax
0.710432,Tax
-0.88075,Tax
-0.899818,Tax
0.67952,Tax
0.785548,Tax
0.959345,Tax
-0.688293,Tax
-0.683127,Tax
-0.649105,Tax
0.633074,Tax
-0.770809,Tax
-0.976307,Tax
0.0,Tax
-0.626583,Tax
-0.972927,Tax
-0.683127,Tax
-0.783872,Tax
-0.783872,Tax
-0.774756,Tax
0.0,Tax
0.648055,Tax
0.930888,Tax
-0.655821,Tax
0.0,Tax
0.0,Tax
0.780166,Tax
-0.893299,Tax
0.962718,Tax
0.781951,Tax
0.0,Tax
0.680045,Tax
0.0,Tax
0.0,Tax
0.633074,Tax
0.672003,Tax
0.0,Tax
-0.62502,Tax
0.710432,Tax
0.0,Tax
0.764201,Tax
-0.684267,Tax
-0.984997,Tax
0.633074,Tax
0.0,Tax
-0.94941,Tax
0.0,Tax
0.0,Tax
0.643272,Tax
0.752835,Tax
0.0,Tax
0.0,Tax
0.0,Tax
0.0,Tax
-0.904735,Tax
-0.997123,Tax
-0.624097,Tax
0.0,Tax
-0.984755,Tax
0.84562,Tax
-0.827096,Tax
0.691215,Tax
-0.735009,Tax
0.683656,Tax
-0.810816,Tax
0.63513,Tax
0.0,Tax
-0.904735,Tax
0.0,Tax
-0.999147,Tax
0.927556,Tax
-0.94941,Tax
0.794771,Tax
0.885491,Tax
0.730472,Tax
0.935097,Tax
-0.904735,Tax
0.678415,Tax
0.0,Tax
-0.94941,Tax
0.0,Tax
0.0,Tax
-0.94941,Tax
-0.624565,Tax
0.633074,Tax
-0.85287,Tax
0.743323,Tax
-0.770809,Tax
0.0,Tax
-0.891888,Tax
-0.761557,Tax
0.0,Tax
-0.950525,Tax
0.0,Tax
0.743758,Tax
-0.675534,Tax
0.0,Tax
0.0,Tax
0.0,Tax
0.0,Tax
0.0,Tax
0.909609,Tax
-0.742928,Tax
-0.681479,Tax
-0.685753,Tax
-0.840307,Tax
-0.762028,Tax
